"Hide Price","Ocultar preço"
"General Setting","Configurações Gerais"
"This module is intended to hide the value of products from unlogged in customers.","Esse módulo tem como propósito ocultar o valor dos produtos para clientes não logados."
"Enabled","Habilitado"
"Yes","Sim"
"No","Não"
"wording when price hide",""
"This works only if you choose to display out hide price.","Ativando a função os clientes só vão conseguir ver o preço após login"
"Wording Price Hide","Texto que será exibido no frontend"
"wording when price hide","Exemplo: Efetue o login para ver o preço"
